Data,Saldo,Aporte,Base de Cálculo,Rendimento Bruto,IR (%),Rendimento Líquido,Saldo Final
05/2026,"R$ 0,00","R$ 1.000,00","R$ 1.000,00","R$ 10,50",22.5%,"R$ 8,14","R$ 1.008,14"
06/2026,"R$ 1.008,14","R$ 1.000,00","R$ 2.008,14","R$ 21,09",22.5%,"R$ 16,34","R$ 2.024,48"
07/2026,"R$ 2.024,48","R$ 1.000,00","R$ 3.024,48","R$ 31,76",22.5%,"R$ 24,61","R$ 3.049,09"
08/2026,"R$ 3.049,09","R$ 1.000,00","R$ 4.049,09","R$ 42,52",22.5%,"R$ 32,95","R$ 4.082,04"
09/2026,"R$ 4.082,04","R$ 1.000,00","R$ 5.082,04","R$ 53,36",22.5%,"R$ 41,36","R$ 5.123,39"
10/2026,"R$ 5.123,39","R$ 1.000,00","R$ 6.123,39","R$ 64,30",22.5%,"R$ 49,83","R$ 6.173,22"
11/2026,"R$ 6.173,22","R$ 1.000,00","R$ 7.173,22","R$ 75,32",20.0%,"R$ 60,26","R$ 7.233,48"
12/2026,"R$ 7.233,48","R$ 1.000,00","R$ 8.233,48","R$ 86,45",20.0%,"R$ 69,16","R$ 8.302,64"
01/2027,"R$ 8.302,64","R$ 1.000,00","R$ 9.302,64","R$ 97,68",20.0%,"R$ 78,14","R$ 9.380,78"
02/2027,"R$ 9.380,78","R$ 1.000,00","R$ 10.380,78","R$ 109,00",20.0%,"R$ 87,20","R$ 10.467,98"
03/2027,"R$ 10.467,98","R$ 1.000,00","R$ 11.467,98","R$ 120,41",20.0%,"R$ 96,33","R$ 11.564,31"
04/2027,"R$ 11.564,31","R$ 1.000,00","R$ 12.564,31","R$ 131,93",20.0%,"R$ 105,54","R$ 12.669,85"
05/2027,"R$ 12.669,85","R$ 1.000,00","R$ 13.669,85","R$ 143,53",17.5%,"R$ 118,42","R$ 13.788,27"
06/2027,"R$ 13.788,27","R$ 1.000,00","R$ 14.788,27","R$ 155,28",17.5%,"R$ 128,10","R$ 14.916,37"
07/2027,"R$ 14.916,37","R$ 1.000,00","R$ 15.916,37","R$ 167,12",17.5%,"R$ 137,88","R$ 16.054,25"
08/2027,"R$ 16.054,25","R$ 1.000,00","R$ 17.054,25","R$ 179,07",17.5%,"R$ 147,73","R$ 17.201,98"
09/2027,"R$ 17.201,98","R$ 1.000,00","R$ 18.201,98","R$ 191,12",17.5%,"R$ 157,67","R$ 18.359,65"
10/2027,"R$ 18.359,65","R$ 1.000,00","R$ 19.359,65","R$ 203,28",17.5%,"R$ 167,70","R$ 19.527,36"
11/2027,"R$ 19.527,36","R$ 1.000,00","R$ 20.527,36","R$ 215,54",17.5%,"R$ 177,82","R$ 20.705,17"
12/2027,"R$ 20.705,17","R$ 1.000,00","R$ 21.705,17","R$ 227,90",17.5%,"R$ 188,02","R$ 21.893,20"
01/2028,"R$ 21.893,20","R$ 1.000,00","R$ 22.893,20","R$ 240,38",17.5%,"R$ 198,31","R$ 23.091,51"
02/2028,"R$ 23.091,51","R$ 1.000,00","R$ 24.091,51","R$ 252,96",17.5%,"R$ 208,69","R$ 24.300,20"
03/2028,"R$ 24.300,20","R$ 1.000,00","R$ 25.300,20","R$ 265,65",17.5%,"R$ 219,16","R$ 25.519,36"
04/2028,"R$ 25.519,36","R$ 1.000,00","R$ 26.519,36","R$ 278,45",17.5%,"R$ 229,72","R$ 26.749,09"
05/2028,"R$ 26.749,09","R$ 1.000,00","R$ 27.749,09","R$ 291,37",15.0%,"R$ 247,66","R$ 27.996,75"
06/2028,"R$ 27.996,75","R$ 1.000,00","R$ 28.996,75","R$ 304,47",15.0%,"R$ 258,80","R$ 29.255,54"
07/2028,"R$ 29.255,54","R$ 1.000,00","R$ 30.255,54","R$ 317,68",15.0%,"R$ 270,03","R$ 30.525,58"
08/2028,"R$ 30.525,58","R$ 1.000,00","R$ 31.525,58","R$ 331,02",15.0%,"R$ 281,37","R$ 31.806,94"
09/2028,"R$ 31.806,94","R$ 1.000,00","R$ 32.806,94","R$ 344,47",15.0%,"R$ 292,80","R$ 33.099,74"
10/2028,"R$ 33.099,74","R$ 1.000,00","R$ 34.099,74","R$ 358,05",15.0%,"R$ 304,34","R$ 34.404,08"
11/2028,"R$ 34.404,08","R$ 1.000,00","R$ 35.404,08","R$ 371,74",15.0%,"R$ 315,98","R$ 35.720,06"
12/2028,"R$ 35.720,06","R$ 1.000,00","R$ 36.720,06","R$ 385,56",15.0%,"R$ 327,73","R$ 37.047,79"
