Data,Saldo,Base de Cálculo,Rendimento Bruto,IR (%),Rendimento Líquido,Saldo Final
05/2026,"R$ 0,00","R$ 0,00","R$ 0,00",22.5%,"R$ 0,00","R$ 1.000,00"
06/2026,"R$ 1.000,00","R$ 1.000,00","R$ 10,50",22.5%,"R$ 8,14","R$ 2.008,14"
07/2026,"R$ 2.008,14","R$ 2.008,14","R$ 21,09",22.5%,"R$ 16,34","R$ 3.024,48"
08/2026,"R$ 3.024,48","R$ 3.024,48","R$ 31,76",22.5%,"R$ 24,61","R$ 4.049,09"
09/2026,"R$ 4.049,09","R$ 4.049,09","R$ 42,52",22.5%,"R$ 32,95","R$ 5.082,04"
10/2026,"R$ 5.082,04","R$ 5.082,04","R$ 53,36",22.5%,"R$ 41,36","R$ 6.123,39"
11/2026,"R$ 6.123,39","R$ 6.123,39","R$ 64,30",20.0%,"R$ 51,44","R$ 7.174,83"
12/2026,"R$ 7.174,83","R$ 7.174,83","R$ 75,34",20.0%,"R$ 60,27","R$ 8.235,10"
01/2027,"R$ 8.235,10","R$ 8.235,10","R$ 86,47",20.0%,"R$ 69,17","R$ 9.304,27"
02/2027,"R$ 9.304,27","R$ 9.304,27","R$ 97,69",20.0%,"R$ 78,16","R$ 10.382,43"
03/2027,"R$ 10.382,43","R$ 10.382,43","R$ 109,02",20.0%,"R$ 87,21","R$ 11.469,64"
04/2027,"R$ 11.469,64","R$ 11.469,64","R$ 120,43",20.0%,"R$ 96,35","R$ 12.565,99"
05/2027,"R$ 12.565,99","R$ 12.565,99","R$ 131,94",17.5%,"R$ 108,85","R$ 13.674,84"
06/2027,"R$ 13.674,84","R$ 13.674,84","R$ 143,59",17.5%,"R$ 118,46","R$ 14.793,30"
07/2027,"R$ 14.793,30","R$ 14.793,30","R$ 155,33",17.5%,"R$ 128,15","R$ 15.921,45"
08/2027,"R$ 15.921,45","R$ 15.921,45","R$ 167,18",17.5%,"R$ 137,92","R$ 17.059,37"
09/2027,"R$ 17.059,37","R$ 17.059,37","R$ 179,12",17.5%,"R$ 147,78","R$ 18.207,14"
10/2027,"R$ 18.207,14","R$ 18.207,14","R$ 191,17",17.5%,"R$ 157,72","R$ 19.364,86"
11/2027,"R$ 19.364,86","R$ 19.364,86","R$ 203,33",17.5%,"R$ 167,75","R$ 20.532,61"
12/2027,"R$ 20.532,61","R$ 20.532,61","R$ 215,59",17.5%,"R$ 177,86","R$ 21.710,47"
01/2028,"R$ 21.710,47","R$ 21.710,47","R$ 227,96",17.5%,"R$ 188,07","R$ 22.898,54"
